,국가,환율,변동,등락
0,미국 USD,1201.0,0.0,보합
1,일본 JPY(100엔),1123.48,0.05,하락
2,유럽연합 EUR,1371.0,2.34,하락
3,중국 CNY,171.98,0.16,상승
